Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
,,,,,,,,,,,,
917,793,5,28,S,H5M28,9,6.739572918,I,VO,NaN,P,V
,,,,,,,,,,,,
917,794,3,22,S,H3M22,9,6.748080129,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,794,3,23,S,H3M23,9,6.748080129,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,794,3,26,S,H3M26,9,6.748080129,I,VA,NaN,A,V
,,,,,,,,,,,,
917,794,4,28,S,H4M28,9,6.748080129,I,VO,NaN,A,V
,,,,,,,,,,,,
917,795,3,2,S,H3M2,9,6.75658734,II,DL,NaN,A,D
,,,,,,,,,,,,
917,796,3,28,S,H3M28,9,6.765094551,I,VO,NaN,A,V
,,,,,,,,,,,,
917,798,3,5,S,H3M5,9,6.782108974,I,DO,NaN,A,D
,,,,,,,,,,,,
917,799,3,25,S,H3M25,9,6.790616185,I,TR,NaN,A,TR
,,,,,,,,,,,,
917,802,2,5,S,H2M5,9,6.816137819,I,DO,NaN,A,D
,,,,,,,,,,,,
917,802,2,21,S,H2M21,9,6.816137819,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,802,2,22,S,H2M22,9,6.816137819,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,809,2,23,S,H2M23,9,6.875688298,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,822,4,1,S,H4M1,9,6.986282044,II,DL,NaN,A,D
,,,,,,,,,,,,
917,825,1,2,S,H1M2,9,7.011803678,II,DL,NaN,A,D
,,,,,,,,,,,,
917,837,6,2,S,H6M2,9,7.113890213,II,DL,NaN,P,D
,,,,,,,,,,,,
917,844,2,1,S,H2M1,9,7.173440691,II,DL,NaN,A,D
,,,,,,,,,,,,
917,850,3,13,S,H3M13,10,7.224483959,III,VL,NaN,A,V
,,,,,,,,,,,,
917,873,1,22,S,H1M22,11,7.420149818,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,877,3,13,S,H3M13,11,7.454178663,III,VL,NaN,A,V
,,,,,,,,,,,,
917,890,3,3,S,H3M3,11,7.564772409,II,DL,NaN,A,D
,,,,,,,,,,,,
917,890,6,22,S,H6M22,11,7.564772409,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,896,4,21,S,H4M21,11,7.615815676,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,896,6,21,S,H6M21,11,7.615815676,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,896,5,22,S,H5M22,11,7.615815676,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,896,5,23,S,H5M23,11,7.615815676,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,897,4,8,S,H4M8,11,7.624322888,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,897,5,8,S,H5M8,11,7.624322888,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,898,3,8,S,H3M8,11,7.632830099,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,898,3,21,S,H3M21,11,7.632830099,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,898,3,22,S,H3M22,11,7.632830099,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,898,3,23,S,H3M23,11,7.632830099,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,900,4,25,S,H4M25,11,7.649844521,I,TR,NaN,A,TR
,,,,,,,,,,,,
917,901,4,2,S,H4M2,11,7.658351733,II,DL,NaN,A,D
,,,,,,,,,,,,
917,901,5,2,S,H5M2,11,7.658351733,II,DL,NaN,P,D
,,,,,,,,,,,,
917,901,2,8,S,H2M8,11,7.658351733,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,902,3,2,S,H3M2,11,7.666858944,II,DL,NaN,A,D
,,,,,,,,,,,,
917,902,4,5,S,H4M5,11,7.666858944,I,DO,NaN,A,D
,,,,,,,,,,,,
917,902,4,28,S,H4M28,11,7.666858944,I,VO,NaN,A,V
,,,,,,,,,,,,
917,906,3,5,S,H3M5,11,7.700887789,I,DO,NaN,A,D
,,,,,,,,,,,,
917,907,2,21,S,H2M21,11,7.709395,III,TR,NaN,A,TR
,,,,,,,,,,,,
